Player;Team;Position;Age;Market value;Contract expires;Minutes played;Successful defensive actions per 90;Defensive duels per 90;Defensive duels won, %;Progressive runs per 90;Passes per 90;Accurate passes, %;Forward passes per 90;Accurate forward passes, %;Short / medium passes per 90;Accurate short / medium passes, %;Long passes per 90;Accurate long passes, %;Passes to final third per 90;Accurate passes to final third, %;Through passes per 90;Accurate through passes, %;Progressive passes per 90;Accurate progressive passes, %
L. Fomba;Saint-Étienne;RCMF, DMF;26;1800000;2025-06-30;1309;10,45;8,46;62,6;1,44;36,65;87,24;9,83;79,72;34,72;89,11;1,72;60;5,57;71,6;0,34;20;4,19;80,33
J. Livolant;Bordeaux;LAMF, RWF, AMF;26;2500000;2024-06-30;1839;3,62;4,45;35,16;1,47;26,23;73,13;5,19;73,58;21,68;82,17;1,13;60,87;2,15;75;0,34;28,57;3,96;71,6
E. Owusu;Auxerre;RDMF, RCMF, LDMF;26;2500000;2025-06-30;1992;9,08;6,78;59,33;0,72;49,88;91,94;11,79;80,84;47,3;93,79;2,44;61,11;6,23;74,64;0,32;42,86;4,92;79,82
L. Rajot;Rodez ;LCMF;26;500000;2024-06-30;2125;5,34;4,53;53,27;0,89;40,24;78;14,32;66,27;33,63;83,88;5,04;52,94;8,05;61,58;1,61;28,95;7,28;73,84
A. Dioussé;Auxerre;RDMF, LDMF, LCMF;26;900000;2024-06-30;1565;10,29;7,36;60,94;0,4;56,76;89,06;17,19;79,26;51,47;92,4;5,06;57,95;8,28;70,83;0,52;44,44;7,88;81,02
D. Chambost;Saint-Étienne;LCMF, LW, RW;26;1000000;2024-06-30;1702;6,87;5,71;62,96;1,11;47,33;82,35;13,59;68,87;40,82;88,99;4,55;48,84;6,35;74,17;1,22;39,13;7,51;76,76
V. Marchetti;Paris;RCMF, LCMF;26;3000000;2024-06-30;1272;6,58;5,87;61,45;1,98;34,6;79,14;11,96;63,31;30,64;83,37;3,18;48,89;5,02;64,79;1,13;18,75;6,37;66,67
J. Gelin;Amiens SC;RCMF, RDMF, LCMF;26;2000000;2024-06-30;1704;8,08;6,65;60,32;0,21;43,47;82,02;16,48;70,19;35,39;89,1;7,55;52,45;8,93;67,46;1;36,84;8,93;75,15
D. Ignatenko;Bordeaux;DMF, RDMF, RCMF;27;1800000;2026-06-30;2162;11,82;5,58;55,22;0,29;58,61;87,5;15,69;71,62;52,62;90,27;5,87;63,12;9,2;70,59;0,54;61,54;7,37;74,01
G. Weissbeck;Bordeaux;LCMF, AMF, CF;27;2500000;2025-06-30;1900;6,21;5,49;53,45;1,85;45,71;85,28;12,55;72,83;41,31;88,88;3,55;57,33;6,49;72,99;1,28;48,15;5,92;81,6
G. Sangaré;Quevilly Rouen;LCMF;27;900000;;1453;9,91;8,67;56,43;1,86;38,96;78,22;15,86;65,63;32,58;84,41;5,57;48,89;8,49;59,85;0,87;28,57;7,25;70,94
A. Camara;Paris;RCMF, LDMF, LCMF;27;0;;1722;10,4;7,79;62,42;1,1;42,07;89,57;11,92;80,7;38,1;90,67;3,61;84,06;5,7;78,9;0,42;50;5,02;81,25
G. Hein;Auxerre;AMF, RW;27;2500000;2026-06-30;2690;3,71;3,88;58,62;3,41;48,65;87,28;10,67;83,39;43,39;90,82;2,94;71,59;4,95;79,73;0,57;64,71;6,46;88,6
F. Boya;Amiens SC;RCMF, RDMF, LCMF;27;850000;2024-06-30;1557;12,6;8,79;55,26;0,35;39,94;79,45;13,7;58,65;33,35;87,18;5,9;43,14;5,66;53,06;0,87;20;5,84;68,32
G. Perrin;Auxerre;RAMF, LAMF, AMF;27;1200000;2026-06-30;2498;4,4;4,36;56,2;3,28;36,79;77,96;10,59;71,77;31,89;82,6;2,02;60,71;4,65;72,09;0,86;25;5,69;84,18
T. Valls;Grenoble;LCMF, RCMF;28;1300000;;1436;6,39;5,08;75,31;0,44;37,92;82,81;11,91;71,05;33,59;86,94;3,57;56,14;5,64;61,11;0,56;33,33;5,33;68,24
S. D'Almeida;Pau;RCMF, DMF, LCMF;28;600000;2024-06-30;1602;9,38;6,8;52,07;0,84;42,87;84,8;12,13;68,06;36,52;90,46;5,62;57;4,78;77,65;0,22;25;5,17;70,65
M. Etuin;Concarneau;LCMF, LDMF;28;400000;2024-06-30;1989;7,01;5,75;60,63;0,95;49,95;85,69;15,61;73,33;43,76;90,28;5,2;56,52;6,2;75,18;0,32;28,57;6,43;69,01
Q. Daubin;Caen;RCMF, LCMF;28;800000;2024-06-30;2055;12,09;10,38;67,09;0,74;44,5;85,63;13,97;71,47;38,45;90,43;5,52;56,35;6,57;68;0,83;31,58;5,69;70,77
J. Benet;Grenoble;LCMF;28;1000000;2026-06-30;1682;7,65;7,76;54,48;0,64;42,65;84,94;16,11;73,75;36,71;90,38;5,19;53,61;8,4;70,06;1,66;22,58;7,44;79,86
D. Louiserre;Guingamp;RCMF, LCMF, DMF;29;1200000;;2388;8,89;6,11;60,49;0,45;45,23;86,17;14,1;72,46;39,61;90,01;5,35;59,86;7,2;71,2;0,53;42,86;6,52;75,72
R. Boissier;Dunkerque;RCMF, LCMF, LDMF;30;700000;;1527;9,49;7,6;62,02;0,18;37,78;86,74;7,96;68,89;33,6;91,05;3,83;53,85;4,24;69,44;0,18;0;4,18;63,38
P. Hamel;Paris;CF, AMF;30;600000;2026-06-30;1322;5,51;4,63;52,94;0,48;19,95;75,77;4,29;66,67;19,06;76,79;0,54;87,5;2,04;56,67;0,14;50;1,7;52
G. Gbellé;Quevilly Rouen;LW, RCMF;31;700000;2024-06-30;1388;9,27;6,16;62,11;0,78;33,65;74,18;10,12;59,62;26,71;79,37;5,12;62,03;5,58;66,28;0,91;50;5,97;68,48
C. Vincent;Bastia;RWF, AMF, RW;31;600000;2025-06-30;1919;7,13;6,8;53,79;0,98;27,95;79,7;6,75;65,28;24,25;84,53;2,16;56,52;3,28;51,43;0,84;33,33;3,33;81,69
S. Beusnard;Pau;LCMF, RCMF, AMF;31;500000;2024-06-30;1997;8,2;7,48;61,45;1,04;47,46;89,36;12,17;78,89;43,85;91,16;3,02;71,64;5,54;78,86;0,54;41,67;5,18;77,39
J. Lopy;Angers SCO;RCMF, LCMF, RDMF;31;500000;;1844;7,66;6,54;58,96;0,2;39;90,36;8,1;77,71;37,14;92,9;1,56;46,88;3,07;80,95;0,44;55,56;3,17;66,15
C. Mandouki;Paris;LCMF, RCMF, RDMF;32;450000;2024-06-30;2548;7,31;6,57;53,76;1,13;43,59;83,79;12,4;72,08;38,01;87,92;4,77;57,78;5,93;68,45;0,42;41,67;6,08;65,7
G. Kakuta;Amiens SC;AMF, RW;32;2000000;2026-06-30;1464;6,02;7,19;57,26;1,78;34,3;73,48;12,79;64,42;29,51;77,71;3,5;50,88;5,78;64,89;2,58;47,62;6,64;79,63
X. Chavalerin;Troyes;LCMF, LDMF;33;1800000;2024-06-30;2190;8,22;5,01;62,3;0,25;31,77;80,08;11,63;69,26;26,71;86,46;3,66;53,93;4,89;58,82;0,82;20;4,89;71,43
H. Saivet;Pau;CF, AMF;33;600000;2024-06-30;1876;6;4,46;65,59;0,91;32,72;80,06;11,18;72,1;27,2;83,6;4,89;63,73;6;80;0,96;50;6,38;81,2
Y. M'Changama;Troyes;AMF, LDMF, LCMF;33;1000000;2024-06-30;1334;5,13;3,58;50,94;0,47;40,41;84,81;11,47;65,88;36,23;88,27;3,44;50,98;5,26;58,97;1,35;45;5,13;71,05
V. Pajot;Annecy;RCMF, DMF;33;500000;;2032;8,37;6,82;55,84;0,27;23,43;79,77;7,09;62,5;20,6;85,16;2,52;42,11;3,1;62,86;0,35;12,5;2,83;73,44
A. Kashi;Annecy;DMF, LCMF, RCMF;35;300000;2024-06-30;1318;8,88;5,74;64,29;0,14;33,66;84,18;9,36;65,69;30,25;86,91;3,35;61,22;4,03;67,8;0,07;0;4,85;57,75
J. Roye;Laval;RCMF, DMF;35;300000;;2100;7,67;5,1;54,62;0,39;38,66;81,49;12,34;68,06;32,61;86,99;5,57;54,62;5,87;69,34;0,77;33,33;5,91;71,01
T. Mangani;Ajaccio;DMF, LCMF, RCMF;36;600000;2024-06-30;2405;10,55;7,07;62,43;0,22;53,14;84,65;21,82;74,27;43,33;89,46;9,13;65,98;8,2;73,52;0,79;38,1;10,67;72,63
P. Capelle;Angers SCO;LCMF, RCMF, LDMF;36;300000;;2492;10;7,26;61,69;0,69;41,42;83,96;12,42;75,87;35,72;88,37;4,84;61,94;5,81;75,16;0,69;52,63;6,25;73,41
