Player;Team;Position;Age;Market value;Contract expires;Minutes played;Successful defensive actions per 90;Defensive duels per 90;Defensive duels won, %;Aerial duels won, %;PAdj Interceptions;Crosses from left flank per 90;Dribbles per 90;Successful dribbles, %;Passes per 90;Accurate passes, %;Short / medium passes per 90;Accurate short / medium passes, %;Accurate long passes, %;Passes to final third per 90;Accurate passes to final third, %;Progressive passes per 90;Accurate progressive passes, %
C. Bassin;Rouen;LCB, LB;29;0;2024-06-30;1888;11,35;7,1;74,5;58,7;7,44;1,24;0,81;52,94;50,67;83,35;41,62;90,03;54,82;7,2;64,24;11,06;66,81
P. Mendy;Nancy;RCB;29;300000;2024-06-30;1420;8,75;3,87;73,77;60;8,02;0;0,38;33,33;39,68;84,03;34,61;88,64;53,25;5,26;60,24;7,48;66,95
D. Seba;Cholet;RCB, CB, LCB;29;250000;;2165;10,27;6,24;63,33;65,96;7,83;0;0,87;52,38;40,61;86,39;33,76;92,12;58,9;3,24;55,13;6,57;60,76
L. Kouagba;Red Star;CB, LCB;29;300000;2024-06-30;2284;7,91;5,76;77,52;60;4,97;0,54;0,45;60;47,5;91,63;43,97;95,53;46,27;4,65;75;6,7;77,33
P. Léonard;Épinal;RCB, CB;30;0;2024-06-30;1300;11,63;6,3;76,92;57,58;7,32;0;0,42;33,33;32,33;82,23;27,69;88,25;43,75;2,42;45,71;5,75;46,99
R. Calvet;Martigues;RCB;30;250000;;2111;9,84;6,86;68,18;51,61;6,76;0;0,13;66,67;50,81;87,38;42,08;94,07;54,64;6,41;61,81;10,95;74,8
A. Mbengue;Châteauroux;LCB, LB;30;350000;;1733;8,56;6,53;66,39;28,13;5,07;0,88;0,82;86,67;38,52;73,93;27,99;88,04;37,85;9,71;44,07;8,62;66,88
F. Mendy;Nîmes;LCB;30;300000;;2246;9,46;5,93;68,24;68,97;5,72;0;0,68;47,06;40,07;92,2;37,71;93,84;66,1;1,88;72,34;4,09;60,78
A. Temanfo;Dijon;LCB, RCB;30;400000;;2228;8,12;6,38;73,42;70,8;4,41;0;0,28;85,71;51,02;91,37;47,22;94,61;51,69;3,51;64,37;5,7;65,96
M. Jean-Pierre;Orléans;LCB, LB;31;250000;;1692;9,27;7,02;68,8;49,18;6,31;0,79;1,4;44;44,94;83,38;36,91;89,5;56,59;6,63;63,56;9,72;73,99
N. Saint-Ruf;Orléans;CB, LCB;31;300000;;2227;8,59;4,51;68,22;66,14;7,81;0,04;0,34;75;52,52;88,69;45,06;93,08;62,5;6,91;67,68;10,36;77,24
V. Sanson;Rouen;CB, LCB, RCB;31;0;2024-06-30;1938;7,48;4,78;73,79;47,06;5;0,14;0,23;60;46,35;92,38;42,12;96,03;57,3;3,67;69,62;6,46;79,14
S. Yohou;Le Mans;RCB, LCB;32;250000;2024-06-30;2321;9,03;5,66;75,34;56,92;6,2;0,04;0,43;54,55;50,99;92,09;48,35;94,39;49,25;2,56;66,67;5;64,34
A. Bamba;Marignane Gignac CB;LCB;32;0;2024-06-30;2305;7,92;5,2;65,63;75,82;5,47;0,04;0,16;50;48,07;88,93;43,44;94,2;38,94;3,45;55,29;4,96;52,46
T. Fontaine;Sochaux;LCB;32;300000;;2188;6,23;3,63;61,73;52,7;5,17;0;0,13;66,67;49,03;88,21;43,66;92,81;50,83;5,83;63,85;8,25;70,11
G. Bussmann;Nancy;LCB;33;250000;2024-06-30;2126;11,22;7,28;71,51;45,45;6,95;0,85;0,38;55,56;41,23;81,52;33,53;88,13;56,44;6,18;61,64;9,14;67,59
J. Colin;Épinal;LCMF, CB, LDMF;33;0;2024-06-30;1791;11,01;6,98;59,71;34,92;7,4;0,4;1,06;52,38;39,4;74,62;30,75;84,48;43,23;8,74;56,9;8,39;64,07
Q. Bernard;Niort;LB, LCB;34;400000;;2514;11,44;7,43;65;58,43;7,97;1,78;0,71;63,16;49,42;79,56;35,53;87,77;59,45;12,55;64,79;17;83,62
B. Écuélé Manga;Niort;LCB, CB;35;250000;;2126;9,19;5,13;77,59;68,94;6,78;0;0,04;100;35,63;89,95;32,58;92,94;57,97;1,99;71,11;4,86;62,73
T. Jaques;Versailles;CB, LCB, RCB;35;200000;;1970;7,26;2,92;67,19;49,09;6,07;0,09;0,09;100;43,72;88,4;36,41;93,98;61,54;6,3;69,57;8,41;79,35
