Player;Team;Position;Age;Market value;Contract expires;Minutes played;Successful defensive actions per 90;Defensive duels per 90;Defensive duels won, %;Progressive runs per 90;Passes per 90;Accurate passes, %;Forward passes per 90;Accurate forward passes, %;Short / medium passes per 90;Accurate short / medium passes, %;Long passes per 90;Accurate long passes, %;Passes to final third per 90;Accurate passes to final third, %;Through passes per 90;Accurate through passes, %;Progressive passes per 90;Accurate progressive passes, %
F. Dembi;Red Star;RCMF, RDMF, LCMF;29;0;;1278;10,64;9,22;66,67;0,91;48,7;85,49;16,04;76,17;43,3;89,64;4,82;53,45;7,65;70,65;0,33;50;8,73;81,9
A. Diaby;Nancy;RCMF;29;100000;2025-06-30;1751;7,15;7,8;61,81;0,7;24,87;83,22;7,8;68,06;22,38;87,41;2,11;51,28;3,09;64,91;0,27;20;2,71;66
Y. Le Méhauté;Le Mans;CF, AMF, LCMF;29;500000;;1414;7,64;8,15;64,84;1,27;42,52;80,09;12,54;62,94;37,62;82,74;3,76;64,41;5,79;73,63;1,02;6,25;5,41;83,53
O. Abdeldjelil;Cholet;CF, AMF;30;250000;;1374;4,76;4,04;52,46;0,66;15,02;67,4;2,98;46,67;13,43;69,95;1,13;52,94;1,52;52,17;0,46;57,14;1,92;68,97
C. Benhamza;Marignane Gignac CB;RDMF, RCMF, LCMF;31;0;2024-06-30;1702;8,93;7,2;60,47;0,5;51,7;80,24;17,98;67,7;43,38;85,59;7,98;53,85;6,48;63,79;0,73;38,46;7,7;66,67
J. Eickmayer;Red Star;RCMF, LCMF, LDMF;31;300000;;1850;6,08;4,79;54,12;1,07;33,29;84,43;10,48;72,04;27,71;90,65;5,29;54,26;7,21;65,63;0,51;22,22;5,18;78,26
O. Diampo Sengele;Marignane Gignac CB;DMF, LDMF, RCMF;31;0;2024-06-30;1290;7,33;7,62;55,14;0,64;40,3;77,74;16,8;65,25;34,68;82,55;5,27;50;6,69;61,7;0,64;11,11;8,33;72,65
S. Bendaoud;Villefranche;LCMF;31;0;2024-06-30;1566;11,4;13,72;56;0,55;33,17;81,99;10,37;68,82;29,7;85,42;2,93;54,17;5,37;69,32;0,55;22,22;5;74,39
K. Hoggas;Sochaux;AMF, LCMF, CF;32;350000;;1668;4,18;3,4;52,46;0,67;34,47;80,45;9,19;72,12;31,24;82,53;2,23;70;4,96;71,91;1,11;45;4,73;87,06
J. Marié;Dijon;LDMF, RDMF, LCMF;32;600000;;1442;12,48;9,42;64,9;0,37;44,56;79,27;14,23;67,11;39,51;82,62;4,24;60,29;7,24;67,24;0,69;18,18;5,93;67,37
A. Tertereau;Avranches;RCMF;32;0;2024-06-30;1291;7,53;5,65;60,49;0,91;31,79;79,61;8,85;64,57;28,02;85,32;2,09;46,67;3,56;58,82;0,56;25;3,14;66,67
J. Colin;Épinal;LCMF, CB, LDMF;33;0;2024-06-30;1791;11,01;6,98;59,71;0,6;39,4;74,62;17,89;64,89;30,75;84,48;7,79;43,23;8,74;56,9;0,8;12,5;8,39;64,07
F. Kembolo;Martigues;RDMF, RCMF, DMF;33;200000;;1427;11,18;6,45;67,35;0,39;35,79;83,27;12,3;67,91;32,04;86,04;3,62;60;4,61;67,14;0,33;40;5,79;68,18
M. Benzia;Rouen;DMF, LCMF;33;0;2024-06-30;2412;10,26;6,83;63,39;0,26;50,41;87,27;14,89;73,93;45,19;91,33;5,04;52,59;5,82;67,31;0,56;33,33;6,31;64,5
G. Bosca;Marignane Gignac CB;AMF, RW, RWF;34;0;;1352;5,15;5,15;64,86;1,74;25,53;76,84;6,4;64,13;22,67;80,06;1,32;63,16;3,76;70,37;0,21;100;3,62;75
K. Fortuné;Orléans;CF, AMF;34;300000;2024-06-30;1663;3,89;4,75;54,22;2,57;32,73;73,43;8,3;61,38;28,38;77,42;2,4;54,76;4,52;63,29;1,2;38,1;5,32;76,34
R. Sergio;Villefranche;RCMF, DMF;36;200000;;1749;6,67;4,56;63,1;0,49;51,81;83,25;18,55;72,22;42,37;91,04;8,03;50,68;9,01;63,86;1,74;34,38;8,95;81,82
S. Chéré;Épinal;AMF, LCMF, RCMF;37;0;2024-06-30;2072;9,03;8,6;54,04;0,96;42,18;82,29;11,94;69,82;38,92;85,04;2,87;50;5,52;70,87;0,69;25;5,86;65,93
M. Coutadeur;Le Mans;DMF, RCMF, LCMF;37;250000;;1898;6,64;4,13;57,47;0,81;60,08;87,92;16,55;74,79;53,35;91,82;6,07;59,38;6,78;74,83;0,66;21,43;6,73;73,24
