54.334902231 ,    9.690083758  ,  55.714807333
6022967.58100   3544954.66400        13.67700                


54.334965665  ,   9.686003336   , 56.243414101   
6022972.05400 ,  3544689.17800   ,     14.19800                


54.338624714  ,   9.684074937  ,  54.126570882             
6023378.13700  , 3544559.79500    ,    12.09100                


54.335072284  ,   9.696186240  ,  56.616201350             
6022990.42000 ,  3545351.42900   ,     14.54200                


54.337859957   ,  9.697067333  ,  58.663761530         
6023301.27500 ,  3545405.66800     ,   16.59400                


54.338206339   ,  9.694278547   , 57.763711316      
6023338.02800  , 3545223.91000     ,   15.68400  
