"The current minimum wage in Iran, Islamic Republic of is IRR26,554,950 per month in 2023. It became valid on March 20, 2021."
Valid on march 2023
"Minimum wage with effect from March 20, 2021"
The amounts are in Iranian Rial.
,Per month
National Minimum Wage,"IRR26,554,950"
