"The current minimum wage in Bolivia is BOB2,250.00 per month in 2023. It became valid on May 1, 2022."
Valid on march 2023
"Minimum wage with effect from May 1, 2022"
The amounts are in Bolivian Bolíviano.
,Per month
National Minimum Wage,"BOB2,250.00"
