"The current minimum wage in Macau Special Administrative Region is MOP6,656.00 per month in 2023. It became valid on November 1, 2020."
Valid on march 2023
"Minimum wage with effect from November 1, 2020"
The amounts are in Macanese pataca.
,Per month,Per week,Per Day,Per Hour
National Minimum Wage,"MOP6,656.00","MOP1,536.00",MOP256.00,MOP32.00
