Valid on march 2023
"Minimum wage with effect from January 1, 2023"
The amounts are in Bosnia-Herzegovina Convertible Mark.
,Per Hour,Per month
Federation of Bosnia and Herzegovina,-,BAM596.00
Republika Srpska,-,BAM700.00
