Valid on march 2023
The amounts are in Bahraini Dinar.
,Per month
Public Sector (General Minimum Wage),BHD300.000
Public Sector (Bachelor degree holders),BHD450.000
Public Sector (Diploma Holder),BHD380.000
Public Sector (High School Graduates),BHD300.000
