Valid on march 2023
"Minimum wage with effect from February 1, 2023"
The amounts are in CFP Franc (XPF).
,Per Hour,Per month
General Minimum Wage (SMG),CFPF971,"CFPF164,162"
Agricultural workers (SMAG),825.68,"CFPF139,540"
