Valid on march 2023
"Minimum wage with effect from February 1, 2020"
The amounts are in Malaysian Ringgit.
,Per month,Per day - 6 days/w,Per day - 5 days/w,Per day - 4 days/w,Per Hour
City Council or Municipal Council areas,"MYR1,200.00",MYR46.15,MYR55.38,MYR69.23,MYR5.77
Areas other than the City Council or Municipal Council areas,"MYR1,100.00",MYR42.31,MYR50.77,MYR63.46,MYR5.29
