"The current minimum wage in Nigeria is NGN30,000.00 per month in 2023. It became valid on April 18, 2019."
Valid on march 2023
"Minimum wage with effect from April 18, 2019"
The amounts are in Nigerian Naira.
,Per month
National Minimum Wage,"NGN30,000.00"
