"The current minimum wage in Colombia is COP1,300,606.00 per month in 2023. It became valid on January 1, 2023."
Valid on march 2023
"Minimum wage with effect from January 1, 2023"
"Minimum wage with effect till December 31, 2023"
The amounts are in Colombian Peso.
,Per month,Transport Allowance per month,Total per Month
National Minimum Wage in Colombia,"COP1,160,000.00","COP140,606.00","COP1,300,606.00"
