"The current minimum wage in Turkey is TRY8,506.80 per month in 2023. It became valid on January 1, 2023."
Valid on march 2023
"Minimum wage with effect from January 1, 2023"
"Minimum wage with effect till December 31, 2023"
The amounts are in Turkish Lira.
,Per month - net,Per month - gross
National Minimum Wage,"TRY8,506.80","TRY10,008.00"
