Valid on march 2023
The amounts are in Surinam Dollar (SRD).
,Per Hour
National Minimum Wage,SRD20.00
Shops with four or more employees,SRD8.40
Hotel and Restaurants with 13 or more employees,SRD8.60
Private Security Services,SRD8.60
